TRAIN PHASE: final
Examples	  Cat	  Total	  Found	     %	RMSE pos	RMSE or	Max  pos	Max  or	Missing	     %	    UFO	     %
504	ALL	18	0	0.00	0.00	0.00	0.00	0.00	18	100.00	0	0.00
1008	ALL	18	12	66.67	5.17	7.21	8.94	15.19	6	33.33	0	0.00
1512	ALL	18	14	77.78	4.40	6.04	8.15	11.30	4	22.22	0	0.00
2016	ALL	18	16	88.89	5.02	7.19	7.73	14.11	2	11.11	0	0.00
2520	ALL	18	11	61.11	7.24	10.22	14.78	19.32	7	38.89	1	8.33
3024	ALL	18	14	77.78	6.86	7.81	14.93	11.38	4	22.22	1	6.67
3528	ALL	18	15	83.33	5.56	5.07	10.46	13.28	3	16.67	1	6.25
4032	ALL	18	17	94.44	4.93	5.89	9.07	12.52	1	5.56	0	0.00
4536	ALL	18	18	100.00	4.84	6.34	9.77	14.10	0	0.00	0	0.00
5000	ALL	18	18	100.00	3.86	6.13	9.19	12.66	0	0.00	0	0.00
