TRAIN PHASE: final
Examples	  Cat	  Total	  Found	     %	RMSE pos	RMSE or	Max  pos	Max  or	Missing	     %	    UFO	     %
504	ALL	12	3	25.00	1.87	13.20	2.47	16.40	9	75.00	0	0.00
1008	ALL	12	1	8.33	1.14	12.71	1.14	12.71	11	91.67	0	0.00
1512	ALL	12	3	25.00	5.01	9.46	5.71	12.68	9	75.00	0	0.00
2016	ALL	12	12	100.00	5.39	7.33	7.95	15.05	0	0.00	1	7.69
2520	ALL	12	10	83.33	4.20	6.41	7.71	10.93	2	16.67	0	0.00
3024	ALL	12	9	75.00	6.27	7.30	9.21	14.01	3	25.00	0	0.00
3528	ALL	12	12	100.00	3.84	5.76	6.98	11.58	0	0.00	1	7.69
4032	ALL	12	12	100.00	3.45	6.60	6.11	13.43	0	0.00	0	0.00
4536	ALL	12	12	100.00	2.31	3.75	3.83	9.70	0	0.00	0	0.00
5000	ALL	12	12	100.00	4.23	3.35	5.57	6.58	0	0.00	0	0.00
